,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,10.066666666666666,1.4817407180595246
1,500,9.733333333333334,0.8273115763993906
2,750,9.933333333333334,0.5333333333333331
3,1000,10.333333333333332,1.534781924429512
4,1250,10.533333333333333,2.114500203620494
5,1500,9.866666666666665,0.9797958971132712
6,1750,10.266666666666666,1.7562586496425987
7,2000,9.933333333333332,1.4666666666666668
8,2250,75.13333333333333,69.51310028412709
9,2500,86.66666666666666,100.74235565154422
10,2750,83.53333333333333,89.70435391390492
11,3000,82.93333333333332,73.96948319708909
12,3250,75.26666666666667,75.7499981664833
13,3500,106.6,125.99671953401537
14,3750,86.6,94.42066628774775
15,4000,87.26666666666667,93.96202542635096
16,4250,128.20000000000002,101.9683175195991
17,4500,127.53333333333333,89.85781360942781
18,4750,118.0,106.08591905725386
19,5000,134.66666666666666,107.3062077524978
20,5250,132.73333333333332,105.78330050942192
21,5500,126.26666666666668,87.39219390515125
22,5750,139.93333333333334,111.7947325334348
23,6000,143.93333333333334,114.50868962659558
24,6250,259.26666666666665,161.4438189175004
25,6500,228.8666666666667,155.32998565777453
26,6750,248.6,145.68434675313918
27,7000,217.6,149.84753733193097
28,7250,242.73333333333335,150.9676050607473
29,7500,258.93333333333334,155.60082833255672
30,7750,268.2666666666667,151.85774044589672
31,8000,271.3333333333333,159.97041393124334
32,8250,360.6,118.42698641403956
33,8500,302.53333333333336,121.55265891328288
34,8750,346.8666666666667,146.9015694644244
35,9000,319.73333333333335,126.82418276233177
36,9250,365.9333333333334,106.17729407824338
37,9500,299.5333333333333,151.43045341747552
38,9750,317.1333333333333,150.07710610808624
39,10000,370.33333333333337,130.50398035649675
40,10250,351.8666666666667,28.160334593971786
41,10500,351.4666666666667,109.29727047521972
42,10750,351.59999999999997,46.00115940567874
43,11000,307.8,58.068771488832276
44,11250,322.6,78.30918776803199
45,11500,320.4,91.76840414870468
46,11750,347.5333333333333,64.70981378430942
47,12000,376.06666666666666,47.169858549242605
48,12250,361.8,75.68079163316293
49,12500,362.8666666666667,31.886325874546564
50,12750,316.1333333333333,27.453880519073355
51,13000,285.79999999999995,65.75327621748845
52,13250,435.0,36.00061727865849
53,13500,378.2,54.61566726783726
54,13750,382.2,71.67661946393522
55,14000,330.9333333333333,74.80653566218514
56,14250,358.59999999999997,71.40880742441912
57,14500,333.1333333333333,80.48977850910292
58,14750,360.4666666666667,55.20450867255118
59,15000,399.53333333333336,62.54477507265406
